,stimulus_radius,central_radius,peripheral_radius,build,date,time,subject,group,blockcode,blocknum,trialcode,trialnum,response,correct,latency,subject.1,trial_number,sequence_number,order_num,trial_type,Cross_position,Circle_1,Position_1,Color_1,Circle_2,Position_2,Color_2,Position_3,Color_3,Position_4,Color_4,similarity,response_time,angle_1,angle_2,angle_3,angle_4,angle_1_cue,angle_2_cue,angle_3_cue,angle_4_cue,catch_vals,ratio_pxpermm,screen_size_x,screen_size_y,viewer_distance,line_size,calibration_image_size,DVA_to_distance,ratio_pxpermm.1,radius_F,radius_P,r_F,peripheral_scale,bin1,bin2,eccen_type,noncompliant
2316,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,28,centermouse,4,centersquare,0,602,513963865,13,25,87,during,0,-1,5.945164528,#AAFF00,-1,185.9451645,#AA00FF,0,0,0,0,2,1328,5.945164528,185.9451645,185.9451645,5.945164528,95.94516453,275.9451645,275.9451645,95.94516453,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2318,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,30,centermouse,4,centersquare,0,539,513963865,15,239,220,during,0,-1,-12.7363369,#FF00AA,-1,167.2636631,#FF0000,0,0,0,0,2,1112,-12.7363369,167.2636631,167.2636631,-12.7363369,77.2636631,257.2636631,257.2636631,77.2636631,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2319,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,31,centermouse,4,centersquare,0,540,513963865,16,146,138,during,0,-1,6.192641113,#FFAA00,-1,186.1926411,#AAFF00,0,0,0,0,2,976,6.192641113,186.1926411,186.1926411,6.192641113,96.19264111,276.1926411,276.1926411,96.19264111,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2327,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,39,centermouse,4,centersquare,0,560,513963865,24,243,182,during,0,-1,18.77145602,#00A9FF,-1,198.771456,#0000FF,0,0,0,0,2,3683,18.77145602,198.771456,198.771456,18.77145602,108.771456,288.771456,288.771456,108.771456,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2328,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,40,centermouse,4,centersquare,0,685,513963865,25,127,18,during,0,-1,-0.973476072,#00FFA9,-1,179.0265239,#FFAA00,0,0,0,0,2,1086,-0.973476072,179.0265239,179.0265239,-0.973476072,89.02652393,269.0265239,269.0265239,89.02652393,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2332,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,44,centermouse,4,centersquare,0,611,513963865,29,242,191,during,0,-1,27.25079453,#00A9FF,-1,207.2507945,#AAFF00,0,0,0,0,2,4019,27.25079453,207.2507945,207.2507945,27.25079453,117.2507945,297.2507945,297.2507945,117.2507945,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2334,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,46,centermouse,4,centersquare,0,491,513963865,31,91,228,during,0,-1,-16.60711617,#00FFA9,-1,163.3928838,#FF0000,0,0,0,0,2,1388,-16.60711617,163.3928838,163.3928838,-16.60711617,73.39288383,253.3928838,253.3928838,73.39288383,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2337,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,49,centermouse,4,centersquare,0,515,513963865,34,39,27,during,0,-1,-4.021318176,#FF0000,-1,175.9786818,#FF00AA,0,0,0,0,2,2314,-4.021318176,175.9786818,175.9786818,-4.021318176,85.97868182,265.9786818,265.9786818,85.97868182,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2338,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,50,centermouse,4,centersquare,0,676,513963865,35,27,70,during,0,-1,-12.89690645,#AAFF00,-1,167.1030935,#00A9FF,0,0,0,0,1,3193,-12.89690645,167.1030935,167.1030935,-12.89690645,77.10309355,257.1030935,257.1030935,77.10309355,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2344,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,56,centermouse,4,centersquare,0,656,513963865,40,28,97,during,0,-1,27.22399088,#AA00FF,-1,207.2239909,#00A9FF,0,0,0,0,1,1506,27.22399088,207.2239909,207.2239909,27.22399088,117.2239909,297.2239909,297.2239909,117.2239909,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2354,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,66,centermouse,4,centersquare,0,701,513963865,50,6,67,during,0,-1,8.415193809,#00A9FF,-1,188.4151938,#00A9FF,0,0,0,0,0,1986,8.415193809,188.4151938,188.4151938,8.415193809,98.41519381,278.4151938,278.4151938,98.41519381,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2355,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,67,centermouse,4,centersquare,0,725,513963865,51,217,129,during,0,-1,20.83448044,#FF0000,-1,200.8344804,#FF0000,0,0,0,0,0,711,20.83448044,200.8344804,200.8344804,20.83448044,110.8344804,290.8344804,290.8344804,110.8344804,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2356,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,68,centermouse,4,centersquare,0,1124,513963865,52,173,154,during,0,-1,-4.115850077,#00FFA9,-1,175.8841499,#0000FF,0,0,0,0,1,1167,-4.115850077,175.8841499,175.8841499,-4.115850077,85.88414992,265.8841499,265.8841499,85.88414992,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2358,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,70,centermouse,4,centersquare,0,539,513963865,54,110,102,during,0,-1,24.43592132,#00FF00,-1,204.4359213,#AA00FF,0,0,0,0,2,5807,24.43592132,204.4359213,204.4359213,24.43592132,114.4359213,294.4359213,294.4359213,114.4359213,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2363,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,75,centermouse,4,centersquare,0,580,513963865,59,31,52,during,0,-1,-11.04928059,#FF00AA,-1,168.9507194,#FFAA00,0,0,0,0,1,1005,-11.04928059,168.9507194,168.9507194,-11.04928059,78.95071941,258.9507194,258.9507194,78.95071941,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2367,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,79,centermouse,4,centersquare,0,2308,513963865,63,177,238,during,0,-1,-16.08890182,#00A9FF,-1,163.9110982,#FF00AA,0,0,0,0,0,963,-16.08890182,163.9110982,163.9110982,-16.08890182,73.91109818,253.9110982,253.9110982,73.91109818,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2369,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,81,centermouse,4,centersquare,0,510,513963865,65,168,133,during,0,-1,-24.14835401,#FF0000,-1,155.851646,#00FF00,0,0,0,0,2,1543,-24.14835401,155.851646,155.851646,-24.14835401,65.85164599,245.851646,245.851646,65.85164599,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2371,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,83,centermouse,4,centersquare,0,483,513963865,67,123,118,during,0,-1,-24.16088353,#FFAA00,-1,155.8391165,#00A9FF,0,0,0,0,2,983,-24.16088353,155.8391165,155.8391165,-24.16088353,65.83911647,245.8391165,245.8391165,65.83911647,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2374,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,86,centermouse,4,centersquare,0,609,513963865,69,228,185,during,0,-1,-0.286491809,#00FFA9,-1,179.7135082,#FF00AA,0,0,0,0,3,3535,-0.286491809,179.7135082,179.7135082,-0.286491809,89.71350819,269.7135082,269.7135082,89.71350819,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2376,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,88,centermouse,4,centersquare,0,545,513963865,71,200,132,during,0,-1,22.79637594,#00A9FF,-1,202.7963759,#00FF00,0,0,0,0,2,1481,22.79637594,202.7963759,202.7963759,22.79637594,112.7963759,292.7963759,292.7963759,112.7963759,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2378,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,90,centermouse,4,centersquare,0,573,513963865,73,106,128,during,0,-1,-7.04394204,#AA00FF,-1,172.956058,#AAFF00,0,0,0,0,2,4081,-7.04394204,172.956058,172.956058,-7.04394204,82.95605796,262.956058,262.956058,82.95605796,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2379,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,91,centermouse,4,centersquare,0,591,513963865,74,205,162,during,0,-1,-12.83012188,#00A9FF,-1,167.1698781,#FFAA00,0,0,0,0,2,1650,-12.83012188,167.1698781,167.1698781,-12.83012188,77.16987812,257.1698781,257.1698781,77.16987812,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2381,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,93,centermouse,4,centersquare,0,471,513963865,76,245,174,during,0,-1,15.02044276,#00FF00,-1,195.0204428,#00FFA9,0,0,0,0,2,2050,15.02044276,195.0204428,195.0204428,15.02044276,105.0204428,285.0204428,285.0204428,105.0204428,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2382,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,94,centermouse,4,centersquare,0,545,513963865,77,116,171,during,0,-1,-12.13703232,#FF00AA,-1,167.8629677,#0000FF,0,0,0,0,2,1248,-12.13703232,167.8629677,167.8629677,-12.13703232,77.86296768,257.8629677,257.8629677,77.86296768,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2385,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,97,centermouse,4,centersquare,0,731,513963865,80,88,143,during,0,-1,-20.24097061,#FFAA00,-1,159.7590294,#00FF00,0,0,0,0,2,3236,-20.24097061,159.7590294,159.7590294,-20.24097061,69.75902939,249.7590294,249.7590294,69.75902939,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
2388,1,1,10,6.2.1,26-08-20,15:08:55,513963865,789715452,experiment,100,centermouse,4,centersquare,0,458,513963865,83,183,25,during,0,-1,8.445873796,#FF00AA,-1,188.4458738,#AA00FF,0,0,0,0,2,1267,8.445873796,188.4458738,188.4458738,8.445873796,98.4458738,278.4458738,278.4458738,98.4458738,NA,4.3224299065420561661px,370.1621621621621329723px,208.2162162162162246659px,567.3959944,86.4485981308411197688px,13594.391999999999825377px,9.90393038,4.3224299065420561661px,42.8090448650540906783px,428.0904486505409067831px,42.8090448650540906783px,4.5,NA,NA,FF,0
